region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_ccs_2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,solar_pv_2,1,1,2,0.0,0.0,9.458744898438454e-8,0.0,0.0,0.0,0.0,0.0,0.0,5.612962631415097e-8,0.0,0.0,0.0,0.0,0.0,5.612962631415097e-8,9.458744898438454e-8,-3.845782267023357e-8
NE,comm_solar_pv_2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,res_solar_pv_2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,onshore_wind_2,1,1,5,0.0,0.0,8.790184888681557e6,0.0,0.0,0.0,0.0,0.0,0.0,8.790184888679799e6,0.0,0.0,0.0,0.0,0.0,8.790184888679799e6,8.790184888681557e6,-1.7583370208740234e-6
NE,battery_2,1,1,6,0.0,0.0,2.5548554733670153e7,2.8331344426187824e7,0.0,0.0,0.0,0.0,2.0768956880105801e6,5.5956794847869165e7,0.0,0.0,0.0,0.0,0.0,5.5956794847869165e7,5.5956794847868554e7,6.109476089477539e-7
NE,fixed_offshore_wind_2,1,1,7,0.0,0.0,4.22166e8,0.0,0.0,0.0,0.0,0.0,0.0,1.535475445895883e8,2.6861845541041094e8,0.0,0.0,0.0,0.0,4.221659999999993e8,4.22166e8,-7.152557373046875e-7
NE,float_offshore_wind_2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,natural_gas_2,1,1,9,0.0,0.0,6.747006559153962e8,0.0,1.0832993564653471e7,2.6812695271901792e8,0.0,7.110213279738066e-8,0.0,9.536606021990662e8,0.0,0.0,0.0,0.0,0.0,9.536606021990662e8,9.536606021990677e8,-1.5497207641601562e-6
NE,nuclear_2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,ror_hydro_2,1,1,11,0.0,0.0,4.2518877307884395e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.31216874858364e-9,0.0,0.0,0.0,0.0,0.0,4.31216874858364e-9,4.2518877307884395e-9,6.028101779520066e-11
NE,pumped_hydro_2,1,1,12,0.0,0.0,1.67000945368093e7,0.0,0.0,0.0,0.0,0.0,272941.4512188847,8.69835033160129e6,0.0,0.0,0.0,0.0,0.0,8.69835033160129e6,1.6973035988028184e7,-8.274685656426894e6
