region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_ccs_2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,solar_pv_2,1,1,2,0.0,0.0,2.86e8,0.0,0.0,0.0,0.0,0.0,0.0,3.824684820292509e8,0.0,0.0,0.0,0.0,0.0,3.824684820292509e8,2.86e8,9.646848202925092e7
NE,comm_solar_pv_2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,res_solar_pv_2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,onshore_wind_2,1,1,5,0.0,0.0,4.18367562815547e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.4577114098984385e-8,0.0,0.0,0.0,0.0,0.0,3.4577114098984385e-8,4.18367562815547e-8,-7.259642182570314e-9
NE,battery_2,1,1,6,0.0,0.0,3.2100200976917483e7,3.675e7,0.0,0.0,0.0,0.0,2.7250950286483862e6,4.83546906785651e8,0.0,0.0,0.0,0.0,0.0,4.83546906785651e8,7.157529600556587e7,4.1197161078008515e8
NE,fixed_offshore_wind_2,1,1,7,0.0,0.0,4.22166e8,0.0,0.0,0.0,0.0,0.0,0.0,9.450112187414306e7,3.2766487812585735e8,0.0,0.0,0.0,0.0,4.221660000000004e8,4.22166e8,4.172325134277344e-7
NE,float_offshore_wind_2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,natural_gas_2,1,1,9,0.0,0.0,8.85624e8,0.0,9.60939383648069e6,2.5117929034757224e8,0.0,3.884455088844725e-8,0.0,5.667576604285454e9,0.0,0.0,0.0,0.0,0.0,5.667576604285454e9,1.146412684184053e9,4.5211639201014e9
NE,nuclear_2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,ror_hydro_2,1,1,11,0.0,0.0,3.666135e7,0.0,0.0,0.0,0.0,0.0,0.0,1.247558511711316e8,0.0,0.0,0.0,0.0,0.0,1.247558511711316e8,3.666135e7,8.80945011711316e7
NE,pumped_hydro_2,1,1,12,0.0,0.0,8.4506e7,0.0,0.0,0.0,0.0,0.0,389397.42166721245,2.635119269225386e8,0.0,0.0,0.0,0.0,0.0,2.635119269225386e8,8.489539742166722e7,1.786165295008714e8
